1	2e-06 s 
51	0.000445 s 
101	0.002235 s 
151	0.00593 s 
201	0.012815 s 
251	0.022622 s 
301	0.039944 s 
351	0.045143 s 
401	0.063694 s 
451	0.081347 s 
501	0.109467 s 
551	0.14849 s 
601	0.189335 s 
651	0.264988 s 
701	0.29503 s 
751	0.362065 s 
801	0.444785 s 
851	0.546057 s 
901	0.664795 s 
951	0.808917 s 
1001	0.937873 s 
1051	1.11104 s 
1101	1.31139 s 
1151	1.52126 s 
1201	1.66952 s 
1251	1.90263 s 
1301	2.12425 s 
1351	2.48021 s 
1401	3.14811 s 
1451	3.48867 s 
1501	3.8246 s 
1551	4.16992 s 
1601	4.49471 s 
1651	4.89084 s 
1701	5.30657 s 
1751	5.68882 s 
1801	6.05072 s 
1851	6.55637 s 
1901	7.07875 s 
1951	7.54641 s 
2001	8.12941 s 
2051	8.64614 s 
2101	9.21024 s 
2151	9.80434 s 
2201	10.4121 s 
2251	11.11 s 
2301	11.9524 s 
2351	12.649 s 
2401	13.2297 s 
2451	14.1313 s 
2501	15.0025 s 
2551	15.881 s 
2601	16.6669 s 
2651	17.6747 s 
2701	18.5511 s 
2751	19.5957 s 
2801	20.5713 s 
2851	21.5957 s 
2901	22.6404 s 
2951	23.8816 s 
3001	25.0231 s 
3051	26.1917 s 
3101	27.4968 s 
3151	28.7883 s 
3201	30.0981 s 
3251	31.5883 s 
3301	32.9939 s 
3351	34.4369 s 
3401	36.0762 s 
3451	37.4197 s 
3501	38.994 s 
3551	40.7204 s 
3601	42.3615 s 
3651	44.0992 s 
3701	45.972 s 
3751	48.5112 s 
3801	49.7183 s 
3851	51.5636 s 
3901	53.4684 s 
3951	55.4364 s 
4001	57.782 s 
4051	59.7887 s 
4101	61.8824 s 
4151	64.0625 s 
4201	66.4279 s 
4251	68.7001 s 
4301	71.0192 s 
4351	73.7639 s 
4401	76.1485 s 
4451	78.7564 s 
